ID;value
0;1
1;2016
2;2A
3;60MINUTES
4;ACTONCLIMATE
5;ADA
6;AIDSFREEGENERATION
7;AIPAC2016
8;ALCONVENTION2016
9;ALWAYSTRUMP
10;AMERICAFIRST
11;AMERICAGREATAGAIN
12;AMERICANSAMOA
13;APAHM
14;ARIZONA
15;ARIZONAPRIMARY
16;ARMEDFORCESDAY
17;ARMYBDAY
18;ASLONGASITTAKES
19;AZ
20;AZPRIMARY
21;BENGHAZI
22;BIKERSFORTRUMP
23;BLACKMENFORBERNIE
24;BLACKSFORTRUMP
25;BLACKWOMENSEQUALPAY
26;BREXIT
27;BREXITVOTE
28;BRUSSELS
29;BUILDTHEWALL
30;BUSH
31;CA4TRUMP
32;CAMPAIGNFINANCE
33;CAPRIMARY
34;CARIBBEAN
35;CARRIER
36;CAUCUSFORTRUMP
37;CBNNEWS
38;CHANGEAGENTS
39;CHARLESTON9
40;CINCODEMAYO
41;CITIZENSUNITED
42;CLINTON
43;CLINTONKAINE
44;CNN
45;COASTGUARDDAY
46;COLBERT
47;COMMANDERINCHIEFFORUM
48;COMMONCORE
49;COMMONLAW
50;CREATORSASKHRC
51;CRIPTHEVOTE
52;CROOKEDHILLARY
53;CRUZ
54;CRUZFRAUD
55;CTPRIMARY
56;DACA
57;DAVIDCAMERON
58;DDAY
59;DEBATE
60;DEBATENIGHT
61;DEBATES2016
62;DECISION2016
63;DECLAREYOURAMBITION
64;DEFENDTHESECOND
65;DEMCONVENTION
66;DEMOCRATICSITIN
67;DEMPLATFORM
68;DEMSINPHILLY
69;DEMSINPHL
70;DEPRIMARY
71;DERP
72;DISARMHATE
73;DIVODEJUAREZ
74;DIWALI
75;DNC
76;DNCINPHL
77;DONALD
78;DONALDTRUMP
79;DTMAG
80;EARTHDAY
81;EASTVILLAGE
82;EAUCLAIRE
83;ECONOMY
84;ELECTION2016
85;ELECTIONDAY
86;ELKHART
87;ENDCOMMONCORE
88;ENDGUNVIOLENCE
89;ENJOY
90;ENOUGH
91;ESTOYCONELLA
92;EXCELLENT
93;EXTREMEVETTING
94;FAIL
95;FAIRANDBALANCEDMYASS
96;FALLONTONIGHT
97;FEELTHEBERN
98;FIGHTFORFAMILIES
99;FILIBUSTER
100;FIRSTINPOTUS
101;FITN
102;FIXDEMOCRACYFIRST
103;FLASHBACKFRIDAY
104;FNS
105;FORD
106;FOX
107;FOXNEWS
108;FROZEN
109;GIBILL
110;GO
111;GOLDENGLOBE
112;GOODTROUBLE
113;GOP
114;GOPCONVENTION
115;GOPDEBATE
116;GOPINCLE
117;GPLFERS
118;GRETA
119;GUNVIOLENCE
120;HAILEYPUCKETT
121;HANNITY
122;HARVEYPITT
123;HILLARY2016
124;HILLARYCLINTON
125;HILLARYKAINE2016
126;HILLARYONCNN
127;HILLARYONGMA
128;HISPANICHERITAGEMONTH
129;HISTORYMADE
130;HOLDTHEFLOOR
131;HOUSTONFLOOD
132;HRC4PA
133;IACAUCUS
134;IAPOLITICS
135;ICYMI
136;IMWITHHER
137;IMWITHHERNANDEZ
138;IMWITHYOU
139;INDIANA
140;INDPRIMARY
141;INPRIMARY
142;INTERNATIONALNURSESDAY
143;IOWA
144;IOWACAUCUS
145;IRANDEAL
146;IREGISTERED
147;ISIS
148;IVOTED
149;JENNIFERRUBIN
150;JIMMYFALLON
151;JOBS
152;JOHNRYDER
153;JONAS
154;JUANGABRIEL
155;JUNTOSSEPUEDE
156;KANSASCAUCUS
157;KENLANGONE
158;KENTUCKYDERBY
159;KHIZRKHAN
160;LABORDAY
161;LAFLOOD
162;LAUDATOSI
163;LAURENCE
164;LAURENCETRIBE
165;LAWANDORDER
166;LEADRIGHT2016
167;LESM
168;LGBT
169;LIBRARIANOFCONGRESS
170;LIGHTWEIGHTSENATORMARCORUBIO
171;LITTLEMARCO
172;LONESTARSTATE
173;LOVETRUMPSHATE
174;LSSC
175;LYINGTED
176;MADEFORHISTORY
177;MADEINAMERICA
178;MAGA
179;MAHALO
180;MAITNERSTRONG
181;MAKEAMERICAGREATAGAIN
182;MAKEAMERICASAFEAGAIN
183;MAKERSANDTAKERS
184;MAKEYOUTUBEGREATAGAIN
185;MARYBRIGIDMCMANAMON
186;MATTSCHLAPP
187;MAYDAY
188;MDPRIMARY
189;MDW
190;MEDIA
191;MEDIAFRAUD
192;MEETTHETRUMPS
193;MEGYNKELLYPRESENTS
194;MEMORIALDAY
195;MEXICO
196;MICHAELBROWN
197;MICHAELMOORE
198;MIKEPENCE
